T (K)      Macro Gruneisen          Macro Gruneisen            LTEC (K-1)               LTEC (K-1)        
79    -2.339337623623387e+00    1.571786557299718e+00   -3.606036686311837e-07    6.701845504989233e-06
80    -2.316743324812309e+00    1.557633949190557e+00   -3.652556192219196e-07    6.793911724257984e-06
81    -2.294526945859975e+00    1.543594871699714e+00   -3.698753959006345e-07    6.884850243980287e-06
82    -2.272674523800015e+00    1.529670853510218e+00   -3.744627562028870e-07    6.974669363759807e-06
83    -2.251173021015960e+00    1.515863291467124e+00   -3.790174777121791e-07    7.063378035890890e-06
84    -2.230010254281661e+00    1.502173455801079e+00   -3.835393570000411e-07    7.150985788605520e-06
85    -2.209174829551541e+00    1.488602495258541e+00   -3.880282086241096e-07    7.237502655733787e-06
86    -2.188656082000149e+00    1.475151442122703e+00   -3.924838641810677e-07    7.322939112314954e-06
87    -2.168444020856342e+00    1.461821217112242e+00   -3.969061714113666e-07    7.407306015722561e-06
88    -2.148529278619150e+00    1.448612634147712e+00   -4.012949933527190e-07    7.490614551893013e-06
89    -2.128903064280098e+00    1.435526404977777e+00   -4.056502075394572e-07    7.572876186272284e-06
90    -2.109557120211096e+00    1.422563143659619e+00   -4.099717052449514e-07    7.654102619119985e-06
91    -2.090483682408149e+00    1.409723370889712e+00   -4.142593907644062e-07    7.734305744833533e-06
92    -2.071675443809313e+00    1.397007518182832e+00   -4.185131807354862e-07    7.813497614977852e-06
93    -2.053125520430970e+00    1.384415931898542e+00   -4.227330034943511e-07    7.891690404727352e-06
94    -2.034827420089634e+00    1.371948877115712e+00   -4.269187984648120e-07    7.968896382447749e-06
95    -2.016775013497576e+00    1.359606541356642e+00   -4.310705155784653e-07    8.045127882164321e-06
96    -1.998962507539584e+00    1.347389038163270e+00   -4.351881147237857e-07    8.120397278681683e-06
97    -1.981384420555415e+00    1.335296410528708e+00   -4.392715652222946e-07    8.194716965137274e-06
98    -1.964035559468143e+00    1.323328634187946e+00   -4.433208453300461e-07    8.268099332787065e-06
99    -1.946910998612761e+00    1.311485620772074e+00   -4.473359417627979e-07    8.340556752836928e-06
100   -1.930006060132189e+00    1.299767220830736e+00   -4.513168492433468e-07    8.412101560147524e-06
101   -1.913316295819452e+00    1.288173226727793e+00   -4.552635700696258e-07    8.482746038653581e-06
102   -1.896837470295298e+00    1.276703375415413e+00   -4.591761137022638e-07    8.552502408350969e-06
103   -1.880565545420006e+00    1.265357351091843e+00   -4.630544963704086e-07    8.621382813716329e-06
104   -1.864496665846779e+00    1.254134787748225e+00   -4.668987406947083e-07    8.689399313434719e-06
105   -1.848627145631868e+00    1.243035271609746e+00   -4.707088753264381e-07    8.756563871320735e-06
106   -1.832953455823676e+00    1.232058343476379e+00   -4.744849346018405e-07    8.822888348327619e-06
107   -1.817472212959430e+00    1.221203500968348e+00   -4.782269582108183e-07    8.888384495547531e-06
108   -1.802180168403852e+00    1.210470200681271e+00   -4.819349908792037e-07    8.953063948113949e-06
109   -1.787074198469509e+00    1.199857860255824e+00   -4.856090820638822e-07    9.016938219924463e-06
110   -1.772151295263235e+00    1.189365860366485e+00   -4.892492856601175e-07    9.080018699109009e-06
111   -1.757408558207440e+00    1.178993546633778e+00   -4.928556597204786e-07    9.142316644174824e-06
112   -1.742843186188963e+00    1.168740231464158e+00   -4.964282661848198e-07    9.203843180764963e-06
113   -1.728452470291768e+00    1.158605195821445e+00   -4.999671706208219e-07    9.264609298972810e-06
114   -1.714233787073000e+00    1.148587690933517e+00   -5.034724419746281e-07    9.324625851159619e-06
115   -1.700184592344915e+00    1.138686939937667e+00   -5.069441523311713e-07    9.383903550226731e-06
116   -1.686302415427880e+00    1.128902139467847e+00   -5.103823766838040e-07    9.442452968298214e-06
117   -1.672584853842150e+00    1.119232461186758e+00   -5.137871927128935e-07    9.500284535773515e-06
118   -1.659029568408352e+00    1.109677053265528e+00   -5.171586805730574e-07    9.557408540713100e-06
119   -1.645634278728726e+00    1.100235041813502e+00   -5.204969226887578e-07    9.613835128523360e-06
120   -1.632396759023053e+00    1.090905532260465e+00   -5.238020035579863e-07    9.669574301909998e-06
121   -1.619314834294958e+00    1.081687610693419e+00   -5.270740095637914e-07    9.724635921071707e-06
122   -1.606386376805909e+00    1.072580345149839e+00   -5.303130287934349e-07    9.779029704108591e-06
123   -1.593609302835701e+00    1.063582786869193e+00   -5.335191508649615e-07    9.832765227621918e-06
