T (K)      Macro Gruneisen          Macro Gruneisen            LTEC (K-1)               LTEC (K-1)        
288   -5.702879898207611e-01    4.164182678685597e-01   -6.753850055165757e-07    1.394008674066341e-05
289   -5.671741368617585e-01    4.149194939740345e-01   -6.742896300539813e-07    1.395059166713428e-05
290   -5.640770042636584e-01    4.134329047762910e-01   -6.731766856389481e-07    1.396101675473693e-05
291   -5.609964519736099e-01    4.119583644433500e-01   -6.720463070998574e-07    1.397136285177072e-05
292   -5.579323422989739e-01    4.104957391549703e-01   -6.708986295355078e-07    1.398163079558070e-05
293   -5.548845398529402e-01    4.090448970664002e-01   -6.697337882969634e-07    1.399182141271305e-05
294   -5.518529115012993e-01    4.076057082728232e-01   -6.685519189694707e-07    1.400193551906843e-05
295   -5.488373263103552e-01    4.061780447744899e-01   -6.673531573544411e-07    1.401197392005277e-05
296   -5.458376554959671e-01    4.047617804425216e-01   -6.661376394515341e-07    1.402193741072613e-05
297   -5.428537723736886e-01    4.033567909853731e-01   -6.649055014408151e-07    1.403182677594913e-05
298   -5.398855523099994e-01    4.019629539159468e-01   -6.636568796650188e-07    1.404164279052731e-05
299   -5.369328726746083e-01    4.005801485193415e-01   -6.623919106119241e-07    1.405138621935335e-05
300   -5.339956127938043e-01    3.992082558212282e-01   -6.611107308968288e-07    1.406105781754716e-05
301   -5.310736539048473e-01    3.978471585568406e-01   -6.598134772451575e-07    1.407065833059393e-05
302   -5.281668791113715e-01    3.964967411405674e-01   -6.585002864751813e-07    1.408018849448012e-05
303   -5.252751733397973e-01    3.951568896361386e-01   -6.571712954808867e-07    1.408964903582744e-05
304   -5.223984232967116e-01    3.938274917273907e-01   -6.558266412149575e-07    1.409904067202489e-05
305   -5.195365174272323e-01    3.925084366896057e-01   -6.544664606719285e-07    1.410836411135878e-05
306   -5.166893458743084e-01    3.911996153614064e-01   -6.530908908714687e-07    1.411762005314093e-05
307   -5.138568004389498e-01    3.899009201172027e-01   -6.517000688418134e-07    1.412680918783490e-05
308   -5.110387745413876e-01    3.886122448401784e-01   -6.502941316033785e-07    1.413593219718039e-05
309   -5.082351631831145e-01    3.873334848958032e-01   -6.488732161525129e-07    1.414498975431581e-05
310   -5.054458629098202e-01    3.860645371058682e-01   -6.474374594454349e-07    1.415398252389908e-05
311   -5.026707717751817e-01    3.848052997230246e-01   -6.459869983823275e-07    1.416291116222657e-05
312   -4.999097893055114e-01    3.835556724058272e-01   -6.445219697916196e-07    1.417177631735038e-05
313   -4.971628164652317e-01    3.823155561942632e-01   -6.430425104144393e-07    1.418057862919382e-05
314   -4.944297556231722e-01    3.810848534857637e-01   -6.415487568892571e-07    1.418931872966530e-05
315   -4.917105105196606e-01    3.798634680116840e-01   -6.400408457367033e-07    1.419799724277037e-05
316   -4.890049862344055e-01    3.786513048142467e-01   -6.385189133445859e-07    1.420661478472234e-05
317   -4.863130891551478e-01    3.774482702239373e-01   -6.369830959530938e-07    1.421517196405109e-05
318   -4.836347269470668e-01    3.762542718373427e-01   -6.354335296402008e-07    1.422366938171037e-05
319   -4.809698085229221e-01    3.750692184954251e-01   -6.338703503072536e-07    1.423210763118352e-05
320   -4.783182440139273e-01    3.738930202622225e-01   -6.322936936647754e-07    1.424048729858763e-05
321   -4.756799447413293e-01    3.727255884039664e-01   -6.307036952184603e-07    1.424880896277616e-05
322   -4.730548231886840e-01    3.715668353686100e-01   -6.291004902553731e-07    1.425707319544011e-05
323   -4.704427929748167e-01    3.704166747657572e-01   -6.274842138303616e-07    1.426528056120763e-05
324   -4.678437688274397e-01    3.692750213469848e-01   -6.258550007526557e-07    1.427343161774224e-05
325   -4.652576665574393e-01    3.681417909865510e-01   -6.242129855727064e-07    1.428152691583955e-05
326   -4.626844030337863e-01    3.670169006624813e-01   -6.225583025692026e-07    1.428956699952267e-05
327   -4.601238961590819e-01    3.659002684380244e-01   -6.208910857363186e-07    1.429755240613607e-05
328   -4.575760648457154e-01    3.647918134434714e-01   -6.192114687711687e-07    1.430548366643822e-05
329   -4.550408289926154e-01    3.636914558583293e-01   -6.175195850614680e-07    1.431336130469277e-05
330   -4.525181094625961e-01    3.625991168938444e-01   -6.158155676734184e-07    1.432118583875846e-05
331   -4.500078280602699e-01    3.615147187758651e-01   -6.140995493397967e-07    1.432895778017769e-05
332   -4.475099075105243e-01    3.604381847280397e-01   -6.123716624482626e-07    1.433667763426376e-05
333   -4.450242714375501e-01    3.593694389553417e-01   -6.106320390298871e-07    1.434434590018696e-05
334   -4.425508443444002e-01    3.583084066279159e-01   -6.088808107478820e-07    1.435196307105922e-05
335   -4.400895515930769e-01    3.572550138652368e-01   -6.071181088865572e-07    1.435952963401772e-05
336   -4.376403193851349e-01    3.562091877205783e-01   -6.053440643404894e-07    1.436704607030710e-05
337   -4.352030747427754e-01    3.551708561657809e-01   -6.035588076038972e-07    1.437451285536064e-05
338   -4.327777454904435e-01    3.541399480763166e-01   -6.017624687602482e-07    1.438193045888009e-05
339   -4.303642602368953e-01    3.531163932166425e-01   -5.999551774720653e-07    1.438929934491449e-05
340   -4.279625483577312e-01    3.521001222258361e-01   -5.981370629709482e-07    1.439661997193773e-05
341   -4.255725399783952e-01    3.510910666035100e-01   -5.963082540478184e-07    1.440389279292505e-05
342   -4.231941659576115e-01    3.500891586959968e-01   -5.944688790433667e-07    1.441111825542837e-05
343   -4.208273578712642e-01    3.490943316828002e-01   -5.926190658387215e-07    1.441829680165057e-05
344   -4.184720479966927e-01    3.481065195633072e-01   -5.907589418463122e-07    1.442542886851867e-05
345   -4.161281692974156e-01    3.471256571437547e-01   -5.888886340009663e-07    1.443251488775595e-05
346   -4.137956554082492e-01    3.461516800244457e-01   -5.870082687511957e-07    1.443955528595301e-05
347   -4.114744406208255e-01    3.451845245872109e-01   -5.851179720506963e-07    1.444655048463780e-05
348   -4.091644598695032e-01    3.442241279831098e-01   -5.832178693500675e-07    1.445350090034465e-05
349   -4.068656487176424e-01    3.432704281203645e-01   -5.813080855887152e-07    1.446040694468227e-05
350   -4.045779433442631e-01    3.423233636525272e-01   -5.793887451869816e-07    1.446726902440083e-05
351   -4.023012805310472e-01    3.413828739668671e-01   -5.774599720384600e-07    1.447408754145790e-05
352   -4.000355976497049e-01    3.404488991729824e-01   -5.755218895025261e-07    1.448086289308366e-05
353   -3.977808326496711e-01    3.395213800916255e-01   -5.735746203970573e-07    1.448759547184499e-05
354   -3.955369240461440e-01    3.386002582437397e-01   -5.716182869913626e-07    1.449428566570871e-05
355   -3.933038109084422e-01    3.376854758397026e-01   -5.696530109992999e-07    1.450093385810385e-05
356   -3.910814328486852e-01    3.367769757687729e-01   -5.676789135726001e-07    1.450754042798312e-05
357   -3.888697300107742e-01    3.358747015887338e-01   -5.656961152943710e-07    1.451410574988334e-05
358   -3.866686430596809e-01    3.349785975157311e-01   -5.637047361728053e-07    1.452063019398512e-05
359   -3.844781131710298e-01    3.340886084143026e-01   -5.617048956350788e-07    1.452711412617160e-05
360   -3.822980820209620e-01    3.332046797875919e-01   -5.596967125214304e-07    1.453355790808640e-05
361   -3.801284917762808e-01    3.323267577677451e-01   -5.576803050794339e-07    1.453996189719071e-05
362   -3.779692850848710e-01    3.314547891064860e-01   -5.556557909584603e-07    1.454632644681949e-05
363   -3.758204050663755e-01    3.305887211658654e-01   -5.536232872043075e-07    1.455265190623694e-05
364   -3.736817953031390e-01    3.297285019091820e-01   -5.515829102540323e-07    1.455893862069116e-05
365   -3.715533998313962e-01    3.288740798920713e-01   -5.495347759309468e-07    1.456518693146797e-05
366   -3.694351631327094e-01    3.280254042537581e-01   -5.474789994398017e-07    1.457139717594401e-05
367   -3.673270301256357e-01    3.271824247084673e-01   -5.454156953621324e-07    1.457756968763903e-05
368   -3.652289461576395e-01    3.263450915369966e-01   -5.433449776517989e-07    1.458370479626742e-05
369   -3.631408569972165e-01    3.255133555784389e-01   -5.412669596306758e-07    1.458980282778907e-05
370   -3.610627088262476e-01    3.246871682220580e-01   -5.391817539845274e-07    1.459586410445939e-05
371   -3.589944482325642e-01    3.238664813993111e-01   -5.370894727590449e-07    1.460188894487870e-05
372   -3.569360222027200e-01    3.230512475760158e-01   -5.349902273560518e-07    1.460787766404088e-05
373   -3.548873781149617e-01    3.222414197446580e-01   -5.328841285298565e-07    1.461383057338123e-05
374   -3.528484637324075e-01    3.214369514168412e-01   -5.307712863837941e-07    1.461974798082383e-05
375   -3.508192271964093e-01    3.206377966158677e-01   -5.286518103669082e-07    1.462563019082804e-05
376   -3.487996170201019e-01    3.198439098694561e-01   -5.265258092707908e-07    1.463147750443443e-05
377   -3.467895820821346e-01    3.190552462025870e-01   -5.243933912265791e-07    1.463729021931000e-05
378   -3.447890716205833e-01    3.182717611304768e-01   -5.222546637021138e-07    1.464306862979278e-05
379   -3.427980352270272e-01    3.174934106516772e-01   -5.201097334992310e-07    1.464881302693581e-05
380   -3.408164228407993e-01    3.167201512412959e-01   -5.179587067512197e-07    1.465452369855037e-05
381   -3.388441847433896e-01    3.159519398443373e-01   -5.158016889204036e-07    1.466020092924879e-05
382   -3.368812715530198e-01    3.151887338691614e-01   -5.136387847958959e-07    1.466584500048644e-05
383   -3.349276342193623e-01    3.144304911810568e-01   -5.114700984914772e-07    1.467145619060329e-05
384   -3.329832240184017e-01    3.136771700959262e-01   -5.092957334435994e-07    1.467703477486470e-05
385   -3.310479925474601e-01    3.129287293740831e-01   -5.071157924095677e-07    1.468258102550182e-05
386   -3.291218917203458e-01    3.121851282141558e-01   -5.049303774658177e-07    1.468809521175125e-05
387   -3.272048737626472e-01    3.114463262470970e-01   -5.027395900063502e-07    1.469357759989421e-05
388   -3.252968912071546e-01    3.107122835302977e-01   -5.005435307412792e-07    1.469902845329514e-05
389   -3.233978968894186e-01    3.099829605418022e-01   -4.983422996955304e-07    1.470444803243974e-05
390   -3.215078439434243e-01    3.092583181746228e-01   -4.961359962076435e-07    1.470983659497246e-05
391   -3.196266857973946e-01    3.085383177311522e-01   -4.939247189287137e-07    1.471519439573350e-05
392   -3.177543761697091e-01    3.078229209176701e-01   -4.917085658214539e-07    1.472052168679517e-05
393   -3.158908690649364e-01    3.071120898389452e-01   -4.894876341593710e-07    1.472581871749789e-05
394   -3.140361187699792e-01    3.064057869929279e-01   -4.872620205260641e-07    1.473108573448554e-05
395   -3.121900798503270e-01    3.057039752655322e-01   -4.850318208146386e-07    1.473632298174040e-05
396   -3.103527071464164e-01    3.050066179255065e-01   -4.827971302272387e-07    1.474153070061749e-05
397   -3.085239557700880e-01    3.043136786193910e-01   -4.805580432746821e-07    1.474670912987855e-05
398   -3.067037811011478e-01    3.036251213665580e-01   -4.783146537762145e-07    1.475185850572543e-05
399   -3.048921387840171e-01    3.029409105543365e-01   -4.760670548593584e-07    1.475697906183308e-05
400   -3.030889847244866e-01    3.022610109332169e-01   -4.738153389598896e-07    1.476207102938197e-05
401   -3.012942750865495e-01    3.015853876121368e-01   -4.715595978218941e-07    1.476713463709020e-05
402   -2.995079662893256e-01    3.009140060538420e-01   -4.692999224979352e-07    1.477217011124501e-05
403   -2.977300150040792e-01    3.002468320703270e-01   -4.670364033493369e-07    1.477717767573392e-05
404   -2.959603781513023e-01    2.995838318183484e-01   -4.647691300465309e-07    1.478215755207543e-05
405   -2.941990128978913e-01    2.989249717950113e-01   -4.624981915695283e-07    1.478710995944924e-05
406   -2.924458766543979e-01    2.982702188334301e-01   -4.602236762084760e-07    1.479203511472609e-05
407   -2.907009270723497e-01    2.976195400984571e-01   -4.579456715642970e-07    1.479693323249715e-05
408   -2.889641220416536e-01    2.969729030824818e-01   -4.556642645494404e-07    1.480180452510300e-05
409   -2.872354196880546e-01    2.963302756012970e-01   -4.533795413886870e-07    1.480664920266218e-05
410   -2.855147783706834e-01    2.956916257900331e-01   -4.510915876200854e-07    1.481146747309943e-05
411   -2.838021566796470e-01    2.950569220991550e-01   -4.488004880959239e-07    1.481625954217340e-05
412   -2.820975134336997e-01    2.944261332905245e-01   -4.465063269838185e-07    1.482102561350401e-05
413   -2.804008076779759e-01    2.937992284335259e-01   -4.442091877678803e-07    1.482576588859952e-05
414   -2.787119986817706e-01    2.931761769012510e-01   -4.419091532499376e-07    1.483048056688310e-05
415   -2.770310459363917e-01    2.925569483667464e-01   -4.396063055508627e-07    1.483516984571908e-05
416   -2.753579091530572e-01    2.919415127993181e-01   -4.373007261119471e-07    1.483983392043879e-05
417   -2.736925482608595e-01    2.913298404608955e-01   -4.349924956963823e-07    1.484447298436612e-05
418   -2.720349234047705e-01    2.907219019024512e-01   -4.326816943907820e-07    1.484908722884263e-05
419   -2.703849949437039e-01    2.901176679604771e-01   -4.303684016067888e-07    1.485367684325238e-05
420   -2.687427234486269e-01    2.895171097535149e-01   -4.280526960827497e-07    1.485824201504636e-05
421   -2.671080697007208e-01    2.889201986787406e-01   -4.257346558854599e-07    1.486278292976659e-05
422   -2.654809946895803e-01    2.883269064086001e-01   -4.234143584119548e-07    1.486729977106988e-05
423   -2.638614596114677e-01    2.877372048874989e-01   -4.210918803913882e-07    1.487179272075133e-05
424   -2.622494258676076e-01    2.871510663285408e-01   -4.187672978869639e-07    1.487626195876739e-05
425   -2.606448550625166e-01    2.865684632103158e-01   -4.164406862979166e-07    1.488070766325864e-05
426   -2.590477090023822e-01    2.859893682737383e-01   -4.141121203615647e-07    1.488513001057228e-05
427   -2.574579496934788e-01    2.854137545189315e-01   -4.117816741554201e-07    1.488952917528427e-05
428   -2.558755393406177e-01    2.848415952021605e-01   -4.094494210993431e-07    1.489390533022121e-05
429   -2.543004403456374e-01    2.842728638328098e-01   -4.071154339577583e-07    1.489825864648188e-05
430   -2.527326153059271e-01    2.837075341704062e-01   -4.047797848419208e-07    1.490258929345843e-05
431   -2.511720270129909e-01    2.831455802216883e-01   -4.024425452122443e-07    1.490689743885741e-05
432   -2.496186384510310e-01    2.825869762377152e-01   -4.001037858806517e-07    1.491118324872035e-05
433   -2.480724127955809e-01    2.820316967110227e-01   -3.977635770130093e-07    1.491544688744421e-05
434   -2.465333134121530e-01    2.814797163728176e-01   -3.954219881315746e-07    1.491968851780139e-05
435   -2.450013038549279e-01    2.809310101902160e-01   -3.930790881175153e-07    1.492390830095963e-05
436   -2.434763478654657e-01    2.803855533635199e-01   -3.907349452134544e-07    1.492810639650147e-05
437   -2.419584093714477e-01    2.798433213235347e-01   -3.883896270260681e-07    1.493228296244356e-05
438   -2.404474524854427e-01    2.793042897289254e-01   -3.860432005287164e-07    1.493643815525566e-05
439   -2.389434415037068e-01    2.787684344636114e-01   -3.836957320641311e-07    1.494057212987937e-05
440   -2.374463409049938e-01    2.782357316341972e-01   -3.813472873471130e-07    1.494468503974660e-05
441   -2.359561153494075e-01    2.777061575674429e-01   -3.789979314673023e-07    1.494877703679784e-05
442   -2.344727296772585e-01    2.771796888077680e-01   -3.766477288919451e-07    1.495284827150011e-05
443   -2.329961489079633e-01    2.766563021147925e-01   -3.742967434687410e-07    1.495689889286466e-05
444   -2.315263382389451e-01    2.761359744609129e-01   -3.719450384286740e-07    1.496092904846452e-05
445   -2.300632630445759e-01    2.756186830289116e-01   -3.695926763889289e-07    1.496493888445172e-05
446   -2.286068888751153e-01    2.751044052096006e-01   -3.672397193557799e-07    1.496892854557426e-05
447   -2.271571814556935e-01    2.745931185994988e-01   -3.648862287275696e-07    1.497289817519295e-05
448   -2.257141066852963e-01    2.740848009985407e-01   -3.625322652976758e-07    1.497684791529794e-05
449   -2.242776306357723e-01    2.735794304078181e-01   -3.601778892575181e-07    1.498077790652503e-05
450   -2.228477195508577e-01    2.730769850273524e-01   -3.578231601995908e-07    1.498468828817174e-05
451   -2.214243398452241e-01    2.725774432538991e-01   -3.554681371205351e-07    1.498857919821330e-05
452   -2.200074581035288e-01    2.720807836787801e-01   -3.531128784242053e-07    1.499245077331816e-05
453   -2.185970410794968e-01    2.715869850857488e-01   -3.507574419247951e-07    1.499630314886358e-05
454   -2.171930556950025e-01    2.710960264488826e-01   -3.484018848499515e-07    1.500013645895079e-05
455   -2.157954690391813e-01    2.706078869305047e-01   -3.460462638439475e-07    1.500395083642006e-05
456   -2.144042483675387e-01    2.701225458791341e-01   -3.436906349708329e-07    1.500774641286551e-05
457   -2.130193611010881e-01    2.696399828274632e-01   -3.413350537176463e-07    1.501152331864973e-05
458   -2.116407748254887e-01    2.691601774903634e-01   -3.389795749976092e-07    1.501528168291827e-05
459   -2.102684572902093e-01    2.686831097629174e-01   -3.366242531533760e-07    1.501902163361381e-05
460   -2.089023764076895e-01    2.682087597184770e-01   -3.342691419602619e-07    1.502274329749024e-05
461   -2.075425002525235e-01    2.677371076067482e-01   -3.319142946295133e-07    1.502644680012651e-05
462   -2.061887970606486e-01    2.672681338519005e-01   -3.295597638115809e-07    1.503013226594028e-05
463   -2.048412352285505e-01    2.668018190507029e-01   -3.272056015994189e-07    1.503379981820145e-05
464   -2.034997833124720e-01    2.663381439706830e-01   -3.248518595317818e-07    1.503744957904540e-05
465   -2.021644100276360e-01    2.658770895483114e-01   -3.224985885965445e-07    1.504108166948618e-05
466   -2.008350842474782e-01    2.654186368872097e-01   -3.201458392340341e-07    1.504469620942941e-05
467   -1.995117750028845e-01    2.649627672563816e-01   -3.177936613403624e-07    1.504829331768507e-05
468   -1.981944514814427e-01    2.645094620884679e-01   -3.154421042707820e-07    1.505187311198012e-05
469   -1.968830830267008e-01    2.640587029780235e-01   -3.130912168430459e-07    1.505543570897092e-05
470   -1.955776391374318e-01    2.636104716798173e-01   -3.107410473407721e-07    1.505898122425553e-05
471   -1.942780894669086e-01    2.631647501071533e-01   -3.083916435168229e-07    1.506250977238572e-05
472   -1.929844038221842e-01    2.627215203302147e-01   -3.060430525966852e-07    1.506602146687907e-05
473   -1.916965521633794e-01    2.622807645744271e-01   -3.036953212818556e-07    1.506951642023062e-05
474   -1.904145046029837e-01    2.618424652188456e-01   -3.013484957532510e-07    1.507299474392458e-05
475   -1.891382314051510e-01    2.614066047945598e-01   -2.990026216745898e-07    1.507645654844577e-05
476   -1.878677029850114e-01    2.609731659831200e-01   -2.966577441958059e-07    1.507990194329093e-05
477   -1.866028899079867e-01    2.605421316149843e-01   -2.943139079564572e-07    1.508333103697995e-05
478   -1.853437628891113e-01    2.601134846679844e-01   -2.919711570891377e-07    1.508674393706686e-05
479   -1.840902927923583e-01    2.596872082658102e-01   -2.896295352228884e-07    1.509014075015072e-05
480   -1.828424506299694e-01    2.592632856765144e-01   -2.872890854866102e-07    1.509352158188629e-05
481   -1.816002075617986e-01    2.588417003110361e-01   -2.849498505124929e-07    1.509688653699476e-05
482   -1.803635348946465e-01    2.584224357217416e-01   -2.826118724394150e-07    1.510023571927411e-05
483   -1.791324040816150e-01    2.580054756009840e-01   -2.802751929163792e-07    1.510356923160942e-05
484   -1.779067867214548e-01    2.575908037796810e-01   -2.779398531059169e-07    1.510688717598313e-05
485   -1.766866545579252e-01    2.571784042259098e-01   -2.756058936875141e-07    1.511018965348504e-05
486   -1.754719794791514e-01    2.567682610435192e-01   -2.732733548610160e-07    1.511347676432218e-05
487   -1.742627335169956e-01    2.563603584707594e-01   -2.709422763500552e-07    1.511674860782873e-05
488   -1.730588888464188e-01    2.559546808789280e-01   -2.686126974054426e-07    1.512000528247555e-05
489   -1.718604177848603e-01    2.555512127710329e-01   -2.662846568085920e-07    1.512324688587980e-05
490   -1.706672927916109e-01    2.551499387804708e-01   -2.639581928749142e-07    1.512647351481430e-05
491   -1.694794864671943e-01    2.547508436697229e-01   -2.616333434572200e-07    1.512968526521685e-05
492   -1.682969715527507e-01    2.543539123290653e-01   -2.593101459491136e-07    1.513288223219940e-05
493   -1.671197209294260e-01    2.539591297752959e-01   -2.569886372883893e-07    1.513606451005710e-05
494   -1.659477076177604e-01    2.535664811504754e-01   -2.546688539604134e-07    1.513923219227716e-05
495   -1.647809047770786e-01    2.531759517206843e-01   -2.523508320014932e-07    1.514238537154780e-05
496   -1.636192857048941e-01    2.527875268747953e-01   -2.500346070022717e-07    1.514552413976685e-05
497   -1.624628238363011e-01    2.524011921232588e-01   -2.477202141110753e-07    1.514864858805036e-05
498   -1.613114927433811e-01    2.520169330969040e-01   -2.454076880372852e-07    1.515175880674111e-05
499   -1.601652661346058e-01    2.516347355457540e-01   -2.430970630546867e-07    1.515485488541698e-05
500   -1.590241178542459e-01    2.512545853378546e-01   -2.407883730048147e-07    1.515793691289917e-05
501   -1.578880218817771e-01    2.508764684581171e-01   -2.384816513002847e-07    1.516100497726039e-05
502   -1.567569523312954e-01    2.505003710071749e-01   -2.361769309281260e-07    1.516405916583293e-05
503   -1.556308834509342e-01    2.501262792002532e-01   -2.338742444531107e-07    1.516709956521656e-05
504   -1.545097896222757e-01    2.497541793660525e-01   -2.315736240210478e-07    1.517012626128644e-05
505   -1.533936453597707e-01    2.493840579456434e-01   -2.292751013620898e-07    1.517313933920083e-05
506   -1.522824253101644e-01    2.490159014913773e-01   -2.269787077940338e-07    1.517613888340872e-05
507   -1.511761042519149e-01    2.486496966658067e-01   -2.246844742255920e-07    1.517912497765746e-05
508   -1.500746570946188e-01    2.482854302406195e-01   -2.223924311596649e-07    1.518209770500014e-05
509   -1.489780588784398e-01    2.479230890955857e-01   -2.201026086966060e-07    1.518505714780297e-05
510   -1.478862847735354e-01    2.475626602175153e-01   -2.178150365374652e-07    1.518800338775260e-05
511   -1.467993100794911e-01    2.472041306992295e-01   -2.155297439872366e-07    1.519093650586323e-05
512   -1.457171102247488e-01    2.468474877385421e-01   -2.132467599580767e-07    1.519385658248374e-05
513   -1.446396607660421e-01    2.464927186372536e-01   -2.109661129725200e-07    1.519676369730465e-05
514   -1.435669373878345e-01    2.461398108001570e-01   -2.086878311666925e-07    1.519965792936509e-05
515   -1.424989159017529e-01    2.457887517340535e-01   -2.064119422934891e-07    1.520253935705956e-05
516   -1.414355722460306e-01    2.454395290467810e-01   -2.041384737257663e-07    1.520540805814471e-05
517   -1.403768824849454e-01    2.450921304462524e-01   -2.018674524594992e-07    1.520826410974598e-05
518   -1.393228228082617e-01    2.447465437395052e-01   -1.995989051169374e-07    1.521110758836415e-05
519   -1.382733695306722e-01    2.444027568317614e-01   -1.973328579497391e-07    1.521393856988185e-05
520   -1.372284990912523e-01    2.440607577254997e-01   -1.950693368421237e-07    1.521675712956999e-05
521   -1.361881880528910e-01    2.437205345195342e-01   -1.928083673139448e-07    1.521956334209401e-05
522   -1.351524131017516e-01    2.433820754081082e-01   -1.905499745238231e-07    1.522235728152022e-05
523   -1.341211510467198e-01    2.430453686799947e-01   -1.882941832722315e-07    1.522513902132193e-05
524   -1.330943788188454e-01    2.427104027176076e-01   -1.860410180045427e-07    1.522790863438550e-05
525   -1.320720734708028e-01    2.423771659961239e-01   -1.837905028141108e-07    1.523066619301646e-05
526   -1.310542121763409e-01    2.420456470826139e-01   -1.815426614453062e-07    1.523341176894535e-05
527   -1.300407722297383e-01    2.417158346351828e-01   -1.792975172965470e-07    1.523614543333369e-05
528   -1.290317310452605e-01    2.413877174021201e-01   -1.770550934233169e-07    1.523886725677967e-05
529   -1.280270661566132e-01    2.410612842210594e-01   -1.748154125411569e-07    1.524157730932400e-05
530   -1.270267552164059e-01    2.407365240181470e-01   -1.725784970286622e-07    1.524427566045545e-05
531   -1.260307759956066e-01    2.404134258072192e-01   -1.703443689304414e-07    1.524696237911652e-05
532   -1.250391063830063e-01    2.400919786889902e-01   -1.681130499600806e-07    1.524963753370896e-05
533   -1.240517243846781e-01    2.397721718502461e-01   -1.658845615030755e-07    1.525230119209912e-05
534   -1.230686081234447e-01    2.394539945630505e-01   -1.636589246197660e-07    1.525495342162350e-05
535   -1.220897358383383e-01    2.391374361839565e-01   -1.614361600482361e-07    1.525759428909392e-05
536   -1.211150858840699e-01    2.388224861532288e-01   -1.592162882072122e-07    1.526022386080288e-05
537   -1.201446367304947e-01    2.385091339940732e-01   -1.569993291989417e-07    1.526284220252870e-05
538   -1.191783669620787e-01    2.381973693118742e-01   -1.547853028120477e-07    1.526544937954063e-05
539   -1.182162552773713e-01    2.378871817934421e-01   -1.525742285243850e-07    1.526804545660397e-05
540   -1.172582804884770e-01    2.375785612062673e-01   -1.503661255058738e-07    1.527063049798508e-05
541   -1.163044215205207e-01    2.372714973977820e-01   -1.481610126212963e-07    1.527320456745627e-05
542   -1.153546574111251e-01    2.369659802946305e-01   -1.459589084331068e-07    1.527576772830071e-05
543   -1.144089673098879e-01    2.366619999019479e-01   -1.437598312042225e-07    1.527832004331730e-05
544   -1.134673304778508e-01    2.363595463026450e-01   -1.415637989007723e-07    1.528086157482537e-05
545   -1.125297262869771e-01    2.360586096567014e-01   -1.393708291948484e-07    1.528339238466940e-05
546   -1.115961342196374e-01    2.357591802004671e-01   -1.371809394672623e-07    1.528591253422378e-05
547   -1.106665338680773e-01    2.354612482459695e-01   -1.349941468102300e-07    1.528842208439726e-05
548   -1.097409049339048e-01    2.351648041802294e-01   -1.328104680300927e-07    1.529092109563762e-05
549   -1.088192272275702e-01    2.348698384645835e-01   -1.306299196499978e-07    1.529340962793608e-05
550   -1.079014806678495e-01    2.345763416340138e-01   -1.284525179125659e-07    1.529588774083177e-05
551   -1.069876452813237e-01    2.342843042964844e-01   -1.262782787825326e-07    1.529835549341612e-05
552   -1.060777012018689e-01    2.339937171322851e-01   -1.241072179493939e-07    1.530081294433719e-05
553   -1.051716286701430e-01    2.337045708933823e-01   -1.219393508300272e-07    1.530326015180395e-05
554   -1.042694080330710e-01    2.334168564027757e-01   -1.197746925712845e-07    1.530569717359051e-05
555   -1.033710197433300e-01    2.331305645538622e-01   -1.176132580525683e-07    1.530812406704031e-05
556   -1.024764443588476e-01    2.328456863098065e-01   -1.154550618884209e-07    1.531054088907024e-05
557   -1.015856625422889e-01    2.325622127029188e-01   -1.133001184310642e-07    1.531294769617476e-05
558   -1.006986550605475e-01    2.322801348340375e-01   -1.111484417729297e-07    1.531534454442987e-05
559   -9.981540278424153e-02    2.319994438719187e-01   -1.090000457491836e-07    1.531773148949717e-05
560   -9.893588668720973e-02    2.317201310526336e-01   -1.068549439402280e-07    1.532010858662777e-05
561   -9.806008784600551e-02    2.314421876789697e-01   -1.047131496741803e-07    1.532247589066618e-05
562   -9.718798743939658e-02    2.311656051198397e-01   -1.025746760293455e-07    1.532483345605420e-05
563   -9.631956674786075e-02    2.308903748096957e-01   -1.004395358366587e-07    1.532718133683465e-05
564   -9.545480715309297e-02    2.306164882479504e-01   -9.830774168213657e-08    1.532951958665524e-05
565   -9.459369013749999e-02    2.303439369984028e-01   -9.617930590927671e-08    1.533184825877221e-05
566   -9.373619728370491e-02    2.300727126886703e-01   -9.405424062146183e-08    1.533416740605400e-05
567   -9.288231027405758e-02    2.298028070096281e-01   -9.193255768436032e-08    1.533647708098498e-05
568   -9.203201089013126e-02    2.295342117148508e-01   -8.981426872827011e-08    1.533877733566891e-05
569   -9.118528101223621e-02    2.292669186200635e-01   -8.769938515048577e-08    1.534106822183259e-05
570   -9.034210261892552e-02    2.290009196025962e-01   -8.558791811762619e-08    1.534334979082936e-05
571   -8.950245778650610e-02    2.287362066008440e-01   -8.347987856795563e-08    1.534562209364251e-05
572   -8.866632868854774e-02    2.284727716137330e-01   -8.137527721367818e-08    1.534788518088877e-05
573   -8.783369759539880e-02    2.282106067001919e-01   -7.927412454323142e-08    1.535013910282167e-05
574   -8.700454687369964e-02    2.279497039786285e-01   -7.717643082355231e-08    1.535238390933492e-05
575   -8.617885898589386e-02    2.276900556264107e-01   -7.508220610231699e-08    1.535461964996571e-05
576   -8.535661648975164e-02    2.274316538793550e-01   -7.299146021019399e-08    1.535684637389797e-05
577   -8.453780203788298e-02    2.271744910312171e-01   -7.090420276304896e-08    1.535906412996562e-05
